Pos,Team,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,Red Bull Racing,89,90,32,108,126,85,61,8,25,82,56,55,47,69,52,40,26
2,Ferrari,73,58,92,59,74,79,51,68,-16,44,69,35,47,47,59,65,34
3,McLaren,36,41,54,39,48,50,64,56,57,66,55,59,74,67,81,83,85
4,Mercedes,42,36,-17,28,62,40,54,46,74,66,76,38,58,25,39,49,65
5,Aston Martin,20,9,35,32,29,-7,15,15,38,10,27,31,23,21,17,11,16
6,RB-Honda,7,4,24,-4,-14,44,12,12,19,10,23,16,25,18,15,-15,-14
7,Haas,9,19,20,20,26,19,21,-65,34,11,41,30,10,7,16,11,16
8,Alpine,12,-13,6,11,28,29,5,-12,31,24,21,-12,-10,18,17,18,2
9,Williams,4,14,5,-10,20,4,-21,11,-26,4,11,15,9,5,-2,22,31
10,Kick,10,-4,7,-8,4,29,2,12,13,8,9,3,2,-14,-2,9,17
